poinew_1,poinew_2,poinew_3
0.8768305,-5.239734,1.423505
1.011165,-6.094751,-1.655407
1.015256,-6.119408,0.1082747
1.009374,-6.090535,-1.42529
1.013517,-6.122158,0.3252157
1.009304,-6.103323,-1.202478
1.013136,-6.133138,0.5438518
1.007704,-6.100258,-0.9792799
1.013206,-6.140231,0.7641209
1.008906,-6.120821,-0.7616835
1.013174,-6.153411,0.9877273
1.00853,-6.131878,-0.5436775
1.013855,-6.164256,1.214309
1.006684,-6.127334,-0.325425
0.9998057,-6.092113,1.42529
1.006418,-6.139106,-0.1085889
0.857599,-5.237043,1.421952
0.9900195,-6.09235,-1.653854
0.9948506,-6.128837,0.1083794
0.9884197,-6.095944,-1.42574
0.9902245,-6.113829,0.3245876
0.9887457,-6.104699,-1.202097
0.9934281,-6.140398,0.5442005
0.9864033,-6.103739,-0.9792799
0.990817,-6.137851,0.7633896
0.9850063,-6.108627,-0.7597336
0.9907463,-6.15106,0.9867887
0.9918665,-6.164867,-0.5462922
0.9942027,-6.179388,1.216598
0.9913115,-6.168277,-0.3274138
0.9760629,-6.080173,1.421691
0.9843487,-6.138633,-0.1085191
0.8399234,-5.243819,1.422987
0.9695011,-6.107386,-1.65696
0.9740784,-6.136221,0.1084493
0.9674398,-6.101282,-1.42619
0.9688771,-6.117249,0.3245876
0.9645242,-6.096646,-1.199807
0.9709156,-6.143998,0.5442005
0.9643339,-6.109264,-0.9795927
0.9700053,-6.145194,0.7638771
0.9646038,-6.117911,-0.7604648
0.9686551,-6.150578,0.986163
0.9718898,-6.178133,-0.5471637
0.9712425,-6.18105,1.216217
0.9690058,-6.173842,-0.3275185
0.9525647,-6.076008,1.419891
0.9709681,-6.193396,-0.1094266
0.82012,-5.237176,1.420399
0.9458058,-6.09546,-1.652818
0.9601571,-6.195082,0.1094266
0.9450716,-6.104787,-1.42619
0.94706,-6.124706,0.324797
0.9438362,-6.103857,-1.20057
0.9467258,-6.129628,0.5426316
0.9430025,-6.112593,-0.9795927
0.9511033,-6.172251,0.766802
0.9406648,-6.111595,-0.7592461
0.945205,-6.14823,0.9852244
0.950318,-6.181489,-0.5471637
0.9499593,-6.186344,1.216598
0.9495693,-6.191006,-0.3282512
0.931939,-6.083149,1.420791
0.9470516,-6.189006,-0.109287
0.7997516,-5.232509,1.418329
0.9245235,-6.098724,-1.652818
0.9346337,-6.172692,0.1089728
0.9237553,-6.108049,-1.42619
0.9256756,-6.127975,0.324797
0.9207652,-6.095467,-1.198281
0.9250263,-6.130926,0.5424573
0.9198935,-6.104128,-0.9777156
0.9268937,-6.157866,0.7646083
0.9213914,-6.128583,-0.7609522
0.9237377,-6.151492,0.9852244
0.9269594,-6.172946,-0.5461178
0.9257381,-6.172148,1.213164
0.9285445,-6.198234,-0.3284605
0.9101229,-6.08251,1.419891
0.9260324,-6.19623,-0.1093568
0.7806268,-5.229536,1.416776
0.9037942,-6.105737,-1.653854
0.9136667,-6.179873,0.1090426
0.8995824,-6.091958,-1.421691
0.9031127,-6.123265,0.3243783
0.902919,-6.121951,-1.20286
0.9044914,-6.14003,0.5429803
0.8985811,-6.107301,-0.9777156
0.9030833,-6.145353,0.7626584
0.8994162,-6.127834,-0.7604648
0.9022599,-6.154679,0.9852244
0.9074296,-6.189943,-0.5473381
0.9044718,-6.177284,1.213545
0.9060358,-6.195508,-0.3281465
0.8880404,-6.079865,1.418541
0.9012231,-6.177659,-0.1089728
0.7640386,-5.243699,1.419881
0.8824762,-6.108855,-1.653854
0.8923748,-6.185004,0.1090775
0.8777561,-6.091204,-1.420791
0.8811646,-6.122426,0.324169
0.8815445,-6.125065,-1.20286
0.8841869,-6.151039,0.5436775
0.8783792,-6.118222,-0.978967
0.8821905,-6.152397,0.7631459
0.8763328,-6.119145,-0.7590023
0.8807697,-6.157791,0.9852244
2.164326,-15.13161,-1.337318
0.8845701,-6.192065,1.215835
2.143727,-15.02501,-0.7954019
0.8648878,-6.069424,1.415392
0.8813441,-6.192646,-0.1091823
0.7460017,-5.248247,1.420399
0.860878,-6.109985,-1.653336
0.8713368,-6.192042,0.1091473
0.8581155,-6.105809,-1.42349
0.8608568,-6.125315,0.324169
0.8566115,-6.102831,-1.197899
0.8624336,-6.152114,0.5435032
0.8581133,-6.129076,-0.9802185
0.860709,-6.155439,0.7631459
0.8549674,-6.122167,-0.7590023
0.8584329,-6.146983,0.9830343
2.120852,-15.20616,-1.343244
0.8615952,-6.185393,1.213927
2.111907,-15.18077,-0.8032523
0.8426241,-6.064685,1.413592
2.102751,-15.13429,-0.2667077
0.727797,-5.244951,1.418846
0.8377041,-6.099555,-1.649713
0.8619535,-6.276122,0.1105784
0.8394524,-6.120205,-1.42619
0.840555,-6.136197,0.3245876
0.8353026,-6.105784,-1.197899
0.8396048,-6.145217,0.5426316
0.8383185,-6.135803,-0.9808443
0.8402927,-6.158259,0.7631459
0.8351967,-6.128903,-0.7594898
0.8377696,-6.155814,0.9839729
2.063468,-15.18189,-1.340455
0.8410801,-6.188216,1.213927
2.062629,-15.19561,-0.8036711
0.8227697,-6.069376,1.414042
